Müşteri No,Müşteri Adı,Telefon,GSM,Email,Adres,İlçe,Vergi Dairesi,Vergi No
MN001387,Al Sultan Sweets, 00971 42 999 542,,CEO@ALSULTANSWEETS.COM,akşemsettin mahallesi,fatih,,
MN001388,Vitray Palstik Ambalaj San.Ve Tic A.Ş,0212 256 57 83 / 84,05337059892,planlama@vitrayambalaj.com.tr,"Akçaburgaz Mahallesi , 3138 Sokak No:3 
Kıraç - Esenyurt - ISTANBUL",Esenyurt,Beylikdüzü,6250021093
MN001389,D.D.K Madbaa,,0530 163 N25 40,,,,,
MN001390,Tawa Sweets Trading Company,+966533588776,966 533 588 776,akrm@tawa.com.sa,"Al Nahda Neiborhood , Selman Al-Farsi Street ",,,
MN001391,Torun Mobilya,0532 341 60 64,0532 341 60 64,an@tradetrn.com,,,,
MN001392,Bizex General Trading Llc,00971 55 526 2916,,,,,,
MN001393,Pissarde Kozmetik San. Ve Tic. Anonim Şirketi,212 486 08 31,0532 447 32 13,,,,,
MN001394,Kalyon Ajans,212 415 30 15,0532 660 48 58,,,,,
MN001395,Esinat Group Lojistik,05415803648,05415803648,esenat.group@gmail.com,,,,
MN001396,Cici Corapları,212 674 24 60,0532 282 77 14,,,,,
MN001397,Elmas Sweet Gıda Sanayi Ticaret Ltd.Sti,+90 332 342 43 31,05325057844,info@elmassweet.com,Fevzi Çakmak Mahallesi Hüdai Caddesi No:39 Karatay - Konya,Karatay ,Selçuk ,3330779217
MN001398,Trabzon Lokma Tatlı Dünyası,,0539 612 12 92,,,,,
MN001399,Boztoprak  Gıda A.Ş,,0541 479 69 13,,,,,
MN001400,Rıbka Publıshıng,359887217298,,katya@ribka-publishing.bg,,,,
MN001401,Ribka Publishing - Bulgaria,+359887217298,,katya@ribka-publishing.bg,"Poruchik Hristo Toprakchiev str. Number 11
                 Sofia, 1000 
                 Bulgaria
",,,
MN001402,Ralev Eood - Mr Ilıan Ralev,359 295 0776,,ralevi@ralevi.com,"137 Todor Aleksandron Blvd. 1309
Nat No: BG12662087Y",,,
MN001403,Kik Sourcing Tekstil Ve Ev Ürünleri Ltd. Şti.,,,,Esentepe Kolektif House Talatpaşa Caddesi 5/1,,,
MN001404,Alper Meriç,,05448172073,alper_28@hotmail.com,Kemalpaşa Mah. Aynalı Çarşı No:45 Çanakkale,,,
MN001405,Gnd Pazarlama Tic.San.Ltd.Şti,02125120410,,c.men@gampas.net,TAHTAKLE CAD. UZUN ÇARŞI CAD. NO.178 MERCAN,FATİH,HOCAPAŞA,3960631560
MN001406,Routine Kozmetik A.Ş.,0 533 498 77 77,,turan@routine.com.tr ,Ayazağa mah. Kemerburgaz cad. No:10/A 18 ,sarıyer,maslak,7351974645
MN001407,Seyrek Tarım Ürünleri San.Tic. Limited. Şirketi,,0533 419 01 84,,,,,
MN001408,Nutto Gıda Ev Tarım Ürünleri San.Ve Tic.Ltd.Şti,,0532 729 00 46,,,,,
MN001409,Original Sweets Germany,004915168427750,004915168427750,info@originalsweets.de,,,,
MN001410,Al-Shaheq Trading Est,0096594440087,0096594440087,,,,,
MN001411,Tatmaya Gıda Yiyecek İçecek A.Ş,,0532 159 22 52,,,,,
MN001412,Moso Gıga San.Ve Tic Ltd. Şti,,0534 792 25 26,,,,,
MN001413,Ergün Çikolata Goflet Cilet Gıda San. Ve Tic.Ltd. Şti,0342 337 96 21,0532 412 99 45,,,,,
MN001414,Egs Çorap Tekstil Ve Diş. Tic. Ltd. Şit,,0506 940 03 87,,,,,
MN001415,Aşkın Reklam,,0532 204 35 23,,,,,
MN001416,Alhalwnji Patisserie,00966 50 532 2344,00966 50 532 2344,,,,,
MN001417,Zewa Metal Plastik,0090 542 613 37 87,0090 542 613 37 87,,,,,
MN001418,Promidea  Srl,0040212241203,,,Cubic Center Office Building 1B Pipera Avenue 077190 Voluntari IIfov,,,
MN001419,Nureddın Sweets,,05526177284,,,,,
MN001420,Newka Gıda Sanayi Ve Ticaret Ltd.Sti,,05523628210,,Gökevler Mah. 2330 Sk. No:6/K Esenyurt/İstanbul,Esenyurt,,
MN001421,Abu Rafel,00964 790 133 6274,00964 790 133 6274,,,,,
MN001422,Efe Rakı,0232 799 00 20,,,,,,
MN001423,Zeytin Dış. Tic. Ltd. Şti,,0535 079 37 45,,,,,
MN001424,Altın Petek,212 417 53 55,0532 574 44 60,,,,,
MN001425,Dervolit Metal Plastik San. Tic. Ltd. Şti.,,0532 525 37 56,,,,,
MN001426,Lımes Marketıng System D.O.O. Pırot,+381 10 375 654 – 381 64 86549,,limespirot@gmail.com,"Staničenje bb, 18300 Pirot  Serbia ",,,
MN001427,Ste Tuns De Produc Et De Dıstrde Patısserıe Aya,+216 79 408 931 / +216 28 401 ,,ste_aya@yahoo.fr,,,,
MN001428,Örsmak Makina Sanayi / Onur Örs,0224 368 40 76,,,ALAADDİNBEY MAH.ATİLLA TATVEREN CAD.NO. 28A/U,NİLÜFER,ÇEKİRGE,35308148888
MN001429,Örsmak Makina Sanayi / Onur Örs,0224 368 40 76,,,ALAADDİNBEY MAH.ATİLLA TATVEREN CAD.NO. 28A/U,NİLÜFER,,
MN001430,Chocolala Co,00971 50 662 5485,00971 50 662 5485,ceo@chocolala.org,"New Industrial Area Rakez, Al Hama, Al Jazeera, Ras Al Khaiah, U.A.E",,,
MN001431,Farina Gıda Anonim Şirketi,,0533 704 20 92,,,,,
MN001432,Bultarda Bilişim Danışmanlık San. Ve Tic. Anonim Şirketi,,0532 504 91 50,,,,,
MN001433,Lüks Plastik İnş.San.Tic.Ltd.Şti.,0212 734 2558,,muhasebe@luxplastic.com,İstoç 12. Ada No:61-63 ,Bağcılar,Güneşli ,6090064462
MN001434,Şark Kahvesi,,0532 287 05 88,,,,,
MN001435,Bim Birleşik Mağazalar A.Ş,,,,"Abdurrahmangazi Mah., Ebubekir Cad., No:73",Sancaktepe,Büyük Mükellefler ,1750051846
MN001436,Şahinler Fındık,,0552 247 76 17,,,,,
MN001437,Bindawood Co.,,0554 771 95 77,,,,,
MN001438,Cags Tobacco Tütün Ve Tütün Mamülleri San. Tic. A.Ş.,+902129162727  ,+905324826285,hcbekler@cagstobacco.com,Torun Center Garden Office A Blok No:46 Şişli – İstanbul            ,Beşiktaş,,
MN001439,Trabzon O&M Grup,,0507 399 3839,,,,,
MN001440,Mood Up Gıda As,,,,Yeniköy Mahallesi Dr.Cevat Kerim İncedayı Sokak No:16/1 Sarıyer - İstanbul ,Sarıyer,Sarıyer,6220778118
MN001441,Ehli Kuruyemiş,,,,,,,
MN001442,Ersan Balcılık Arıcılık İth.İhr. San. Ve Tic. Ltd .Şit,,0530 474 07 13,,,,,
MN001443,Best Gıda,,,,,,,
MN001444,Mahizer Tatlı Ve Unlu Mam. Üretim A.Ş,,0555 393 55 75,,,,,
MN001445,Mentalik,,,,,,,
MN001446,Ahmad Tea Cay Ithalat Ve Tıcaret Lımıted Stı,216 6880170,,dursun.c@ahmadtea.com.tr,"Barbaros Mahallesi Akzambak Sokak Uphill Town Sitesi No:2A İç Kapı No : 61
Ataşehir - İstanbul",Ataşehir,,
MN001447,Aqqad Printing Co.,00972 59 218 4774,,,,,,
MN001448,Beyaz Perakende Gıda San. Ve Tic. Ltd. Şti.,,,,Tatlısu Mah.Akdağ Cad. No: 74,Ümraniye,Alemdağ,1671006315
MN001449,Gold İlaç San. Ve Tic. A.Ş,212 555 11 11,0533 064 04 34,,,,,
MN001450,Asko Global All Marketing Dış Ticaret Aş,,+90 533 156 87 74   ,kuslu@mst-tr.com ,Hürriyet Mah. D-100 Kuzey Yanyol 49/1 Kartal/İstanbul,,,
MN001451,Ar-Ge Ovi Lojistik,,0533 452 82 95,,,,,
MN001452,Mohammed Bashir Company,00972 54 569 7612,00972 54 569 7612,,,,,
MN001453,Kumtel Gıda,,0552 957 03 44,,,,,
MN001454,Özkazak Gıda Tic. A.Ş,,0532 354 39 78,,,,,
MN001455,Zeta Media,05364360115,,,,,,
MN001456,Trend Advertising Agency,009647709821240,,,,,,
MN001457,Cevizağacı Gıda İşletmeleri San.Tic.Ltd.Şti.,02123101313,,c.men@gampas.net,KOŞUYOLU MUHİTTİN ÜSTÜNDAĞ CAD. NO.85,KADIKÖY,KADIKÖY,6080481551
MN001458,Global Gıda Grup,,0539 261 23 53 ,,,,,
MN001459,Unikey Makine Mühendislik Taah. Tic.Ltd.Şti.,,,,"Sahil Mah. Liman Cad. No.132
Başiskele
",Kocaeli,,
MN001460,İn2 Dış Tic.,,0530 732 57 78,,,,,
MN001461,Phoneix,,,,,,,
MN001462,Asamim,,,,,,,
MN001463,Günaydın Dış .Tic,,0533 381 12 89,,,,,
MN001464,Nirvana Reklam Ve Tanıtım Hizmetleri,,,c.men@gampas.net,,,,
MN001465,Wecreative,216 478 42 00,0532 260 77 76,,,,,
MN001466,Bayeks,,,,,,,
MN001467,Sağlam Zücc.Hed.Eşya Oyuncak Ve Buj.Teks.Kozm.San.Ve Tic.Ltd.Şti.,,,,"Mahmutbey Mah. 2419 Sok. İstoç 3 Ada No:2-4-6-8

Depo: Sanayi M Evren Oto San. Sit. 1673 sok No : 18 Esenyurt / İstanbul",Bağcılar,Güneşli ,7380554088
MN001468,Josef Manner Comp Ag,+43 1 48822 3332,+43 676 8292 3332,s.kloiber@manner.com,"Wilhelminenstrasse 6
A - 1171 Wien
",,,
MN001469,Emre Gıda Pazarlama San.Tic.Ltd.Sti,0362 238 8092,0533 730 5210,r.emre@emre-gida.com.tr,"Karşıyaka Mahallesi , İlkadem Bulvarı No:87 Canik Samsun / Türkiye",,,
MN001470,Izdatelstvo Ribka Eood,359889142744,359889142744,'ani@ribka-publishing.bg',"Sofia, BuLd. Vitosha 25
Bulgaria",,,
MN001471,Tedı Gmbh & Co Kg,+49 231 55577-0,,,Brackeler Hellweg 301 44309 Dortmund Brackel Germany,,,
MN001472,Turan Ambalaj,,0542 806 45 96,,,,,
MN001473,Ugisa Gıda Tic. Ve San.Ltd. Şirketi,,0530 789 49 98,,,,,
MN001474,Halep Çay Gıda İnş  Kuyum İth.İhr.San.Ve Tic. Ltd.Şti,,0532 666 46 34,,,,,
MN001475,International Company For Trading And Production Afamia,+421 905 620 560,+421 905 620 560,,"ul. Borowej Góry 8 lok.42, 01-354 Warszawa",,,
MN001476,Endülüs Ambalaj,0090 552 542 33 62,0090 552 542 33 62,,,,,
MN001477,Fadak Date Plam Plantation,00964 773 536 6838,00964 773 536 6838,,,,,
MN001478,Şifa Kapısı Bitkisel Doğal Ürünler,,0539 572 81 88,,,,,
MN001479,Yamal Al Sham Sweets & Rostary,00971 50 651 16 37,,,112 Al Nahda St - Al Twar  1 Dubaı U.A.E,,,
MN001480,Aures Dış Tic Ltd. Şti,,0532 211 46 54,,,,,
MN001481,Msa Etkinlik Organizasyon Danışmanlık Ticaret Limited Şirketi,,,,Yenibosna Merkez Mah ihlas yuva sitesi c5 blok 26-O/ 41 ,Bahçelievler,Yenibosna,6231792364
MN001482,Çetinkaya Elektronik Kırtasiye Oyuncak San. Ve Tic. Ltd. Şti.,0212 526 90 97,,,İstoç Toptancılar Çarşısı 17. Ada No : 149,Bağcılar,Güneşli,2470040289
MN001483,Beylerbeyi Lokum,0090 553 955 09 85,0090 553 955 09 85,,,,,
MN001484,Company Name Uplink Uydu Ve Elektronik Sistemleri Sa. Ve Tic. A.Ş,,0533 245 45 66,,,,,
MN001485,Kesekler Kuru Yemiş Gıda Turizm  San Ve Dış Ticaret Ltd.Sti,,05071482114,,"Rüstempaşa Mahallesi  Tahmis Caddesi No: 36 
Fatih - Istanbul",,Hocapaşa ,2170281372
MN001486,Dolcezza Sh.Pk,38649365400,+38649365400,contact@mytiesta.co,"Pristine - Kosova 
Zip Code : 1000",,,
MN001487,Pissarde Group ( Lelas Perfume ),0090 538 064 23 76,0090 538 064 23 76,,,,,
MN001488,Hala Sweets,0090 535 416 91 55,0090 535 416 91 55,,,,,
MN001489,Akhan Tic. İth. İhr. San. Ltd. Şti.,,0533 771 66 71,,,,,
MN001490,Karabaş Dayanıklı Tüketim Malları Tic. Ve San. Anonim Şirketi,0264 210 1110,,,"Merkez : Arabacıalanı MAh. Çark Cad. No:246 B Serdivan / Sakarya
Şube : Tığcılar Mah. Atatürk Bulvarı No:103/A Adapazarı / Sakarya",Adapazarı,Ali Fuat Cebesoy,503083372
MN001491,Lika Tobacco,0232 799 00 34,,,"10024. Sk. No:7, ITOB OSB, Menderes, 35865",,,
MN001492,İnsan Hak Ve Hürriyetleri İnsanıi Yardım Vakfı Konya Şubesi,,05061531225,,"Şemsi Tebrizi Mahallesi Şerafettin Caddesi No:36
Karatay - Konya",,,
MN001493,Sinan Solmaz  ( Fatih Sultan Bazaar ),,05316798684,,"Ali Kuşçu Mahallesi Fatih Caddesi No:17 İç Kapı No : 1 
Fatih - İstanbul",Fatih,Fatih,7730573986
MN001494,Solı Sweets Tatlı Gıda Urunlerı San.Tıc..Ltd.Stı,03243574540,,mhsary@gmail.com,"YENI MAHALLE GUL CADDESI  NO:2 IC KAPI .1
MEZITLI - MERSIN",,ISTIKLAL,7730342292
MN001495,P&B,,,,,,,
MN001496,Doğuş Döküm Malzemeleri A.Ş.,,,,,,,
MN001497,Emport Sp Z.O.O,48664911955,,prezemek@em-port.com," MIGDATOWA 3/5 
WROCLAW - POLAND 
",,,
MN001498,Baraka Internatıonal Co For Food Stuff,+96566114623,,Sheryl.Jesus@barakadates.com>,"1’St Floor Ofiice Building 43 Road 28
                Block 1  Aswaq Qurain ( Qurain Markets )
Kuwait
",,,
MN001499,Kamil Tanar Ankates Konfeksiyon Üretim Evi,,0533 302 73 75,,,,,
MN001500,Nanoşam Nanobiyoteknoloji Arge Sanayi Ve Ticaret Ltd Şti,02126916069,,hazal.tatli@sankara.com.tr,Üniversite Mahallesi Sarıgül Sokak no: 37/1 Avcılar/ İstanbul,Avcılar,Avcılar ,629 047 87 
MN001501,Ramadan Abu Lebbeh & Sons Co. L.L.C ( Al-Nejmah Sweets ),00962 79 0001005,00962 79 0001005,Support@alnejmah.com,Marka Al-Shamalieh - Amman - Jordan,,,
MN001502,Ukko Paharm,,0531 025 09 76,,,,,
MN001503,Muyu Yatak Sanayi Anonim Şirketi,,,,VadiKoru Ofis Blokları Kemerburgaz Caddesi No:10 / A 34396 F blok Kat:3 Ayazağa -Sarıyer,,Maslak,6260607898
MN001504,Migros Ticaret A.Ş.,0216 579 30 00,,,Atatürk Mahallesi Turgut Özal Bulvarı No:7,Ataşehir,,
MN001505,Güçlü Grup,,,,,,,
MN001506,Ghısh Tıyar,009647504574445,009647504574445,,,,,
MN001507,Ellıe Company,,,,,,,
MN001508,Decorev (Yılmazlar Alışveriş Hizmetleri İç Ve Dış Tic.Ltd.Şti.),111,,111,Mahmutbey Mahallesi 2417 sok. No: 62,Bağcılar,Marmara Kur.,9780085919
MN001509,Salloura Oğlu Tatlicilik,0090 212 542 5661 - 0090 531 9,0090 212 542 5661 - 0090 531 9,,"Molla Gürani Mah. Turgut Özel millet Cad. No:60/A1, Findikzade - İst",,,
MN001510,Denıs Shpk,+90 532 509 11 54,,evisfl@gmail.com,Vaqarr Tirane  Albania,,,
MN001511,Kurumsal Baskı Hizmetleri Ltd. Şti,0212 264 72 16-17,,nuvit@kurumsalbaski.com.tr,,,,
MN001512,Erçal Fındık Otomotiv Sanayi  Ve Tic.A.Ş,2316 564 52 00,0539 935 66 36  ,,,,,
MN001513,Ayhan Bayram  Bayramoglu Baklava,,0553 701 7234,serhatbayram3469@gmail.com,"RUSTEMPASA MAHALLESI TAHMIS CADDESI MISIR CARSISI NO 1  IC KAPI NO :2 
FATIH ISTANBUL",Fatih,Hocapaşa,62437396842
MN001514,Bekdash Fl Tampa Llc,00962 7 81818318,00962 7 81818318,,"10915 – 11009 N. 56th Street, Tampa, Florida 33617 - U.S.A !!",,,
MN001515,Samer Kesem Sağlıklı Yaşam Gıda Maddeleri Emk-Paz-Ith-Ihr.Ltd.Şti,0090 0538 056 53 37,,,,,,
MN001516,Blue Marmara Ithalat Ihracat Tıcaret Lımıted Sırketı,00218 9 9555553,00218 9 9555553,,KEMALPASA MAH. AGA YOKUSU SK. NO: 19 IÇ KAPI NO: 205 FATIH/ ISTANBUL,,,
MN001517,Noukaa Factory Company For Food Industries And Dates,00966 55 412 3499,00966 55 412 3499,hhamed@ikaf.net,,,,
MN001518,Batam Sweets,05543827025,05543827025,,,,,
MN001519,Agrofood,,,,,,,
MN001520,Marmara Reklam Ve Pazarlama Ltd. Şti.,0212 501 31 72,0532 673 20 69,,,,,
MN001521,Dama Design Mimarlık Ltd.Şti.,,,,"zührütpaşa mah. bağdat cad. no7 k3
kadıköy",,göztepe,2690431951
MN001522,Kahve Ürünleri İmalatı,,0533 03117 25,,,,,
MN001523,Jumbo Künefe,,, cerenkanberoglu@ilepa.com.tr,,,,
MN001524,Br Export,,,,,,,
MN001525,Proses İlaç Ve Kimya,,0507 005 74 81,,,,,
MN001526,Eurasıa Dıs Tıcaret As,,05531653105,,"Barbaros Hayrettin Paşa Mahallesi 1992 Sokak No:16 
Kat :10 D:216 
Esenyurt - Istanbul",Esenyurt,Esenyurt ,3830430533
MN001527,Nawa Packaging,,05369568392,,Riyad ,,,
MN001528,Antonio Fatigati Spa,00390815732828,,import@fatigatispa.it,Via S.Giovanni 25 80021 Afragola Napoli ITALY,,,
MN001529,Taft Coffee,,,,,,,
MN001530,Next Microbiome Sağlık Ürünleri Tic. Ve San. A.Ş,,0507 005 74 81,,,,,
MN001531,Esencan Lokum Şekerleme Gıda,,,,,,,
MN001532,Zıpor Hanefesh Israelı Art Ltd,+(972)48699862,,,MAIN ST. USFIA ISRAEL 3009000,,,
MN001533,Coschoccolate,,,,,,,
MN001534,Yoncam Emlak Gıda Turizm Ticaret Ltd Sti,04622810444,05325045889,,"Kemerkaya Mahallesi Meydan Hamam Sokak No:1/A
Ortahisar - TRABZON",,Karadeniz,4841769970
MN001535,Earlybird,,,,,,,
MN001536,Şanlı Bitkisel İlaç Ve Kozmetik San.Tic.Limited Şirketi,,0544 557 22 12,,,,,
MN001537,Erfa Dizayn Bilişim Ve Matbaacılık San.Tic.Ltd.Şti.,,05323159374,crypto.gulseren@gmail.com,Turgut Özal Mah. Tonguç Baba Cad. Torıum Evleri No :21 Kat:4 D:80 ,Esenyurt,,
MN001538,Gramaj Ofset Matbaacılık,,0532 688 41 09,,,,,
MN001539,Nawal House Sweet Confectıonary Ltd,,,,18 ADEN ROAD ENFIELD - LONDON - U.K,,,
MN001540,Plantanas,,,,,,,
MN001541,Mumay Çanta Ve Promosyon Ürünleri Ltd.Şti,,0538 445 31 82,,,,,
MN001542,Tarihi Lokumcu Mehmet Efendi Gida San. Ve Tic. Ltd Şti.,0090 545 841 78 39,,,Cumhuriyet mahallesi Doktor Cemal kozanoğlu cad. 7 nolu BB no 2C SİLİVRİ İSTANBUL  Silivri,,,
MN001543,Badem İthalat İhracat,03323527676,05455243350,bademtrade@gmail.com,Şems-i Tebrizi Mh Mevlana Caddesi Fatih Carsısı No: 51 Kat :1 d-103 Karatay KONYA ,,,
MN001544,Sham Baklava,00905380202326,00905380202326,sales.anteplisham@gmail.com,,GAZİANTEP,,
MN001545,Bimatbaa,,,,,,,
MN001546,His Promosyon,,,,,,,
MN001547,Stf Endüstri,,,,,,,
MN001548,Bircan Ambalaj Ve Gıda Pazarlama Limited Şirketi,,0546 612 60 60,,,,,
MN001549,Fc Reklam,,0532 462 87 19,,,,,
MN001550,Mıeszko S.A.,+48 (22) 10 55 400,,Ozkan Ulubey <ozkan.ulubey@packagingsolutions.lt>,"Aleje Jerozolimskie 181  0222 Warszawa PL-6390010391
Poland
",,,
MN001551,Nek Teknoloji  Gıda Ve Tekstil San.,,0538 356 03 83,,,,,
MN001552,Gül Sultan Gıda Ve Turizm Ticaret A.Ş,,05542504554,,"Cibali Mahallesi Cemalettin Efendi Sokak No:10 
Fatih - Istanbul ",Fatih,,
MN001553,Tolman Trande House,,0533 296 08 58,,,,,
MN001554,Tsabarel,,,,,,,
MN001555,Gurieli,,,,georgia,,,
MN001556,Eiffel Sweets,00972 59 944 40 21,00972 59 944 40 21,,,fatih,,
MN001557,Kar Kar Kuruyemiş,0090 5368118172,0090 5368118172,,"Hırka-i Şerif, Mütercim Asım Sk. no14, 34080 Fatih/İstanbul",Fatih,,
MN001558,Antep Fıstığı,,,,"Sarıgüllük Mah. Zübeyde Hanım Bulv.  No.16c
",,,
MN001559,Gafbros,,,,"georgia
",,,
MN001560,Minay Promosyon,,,,,,,
MN001561,Nafeeseh Sweets İraq,00962 796472942,00962 796472942,,,,,
MN001562,Trımhouse,,,,,,,
MN001563,Safa Vakfı,,,,,,,
MN001564,Star Okey,,,,,,,
MN001565,Novobox,,,,,,,
MN001566,Ottoman Galata,,,,,,,
MN001567,Fer Matbaa,,,,,,,
MN001568,Srg Internatıonal,+31681057243,,,"De Ruif  1 , 4751 Oud
Gastel / Netherlands",,,
MN001569,Al Akkar Sweets,05464777747,05464777747,,,,,
MN001570,Bibastatü Bilgi Bahçesi Tanıtım Hizmetleri Org.Dan.Tur.Tic. Ltd. Şti,,0532 285 00 89,,,,,
MN001571,Showaiter Sweets,00973 3333 0002,,,,,,
MN001572,Satem Grup Gıda Dağıtım Ve Pazarlama A.Ş,,0536 595 10 77,,,,,
MN001573,Retab Alwatan Dates Factory Co.,00546 801 2007,00546 801 2007,,,,,
MN001574,Nur Matbaa,,,,,,,
MN001575,Saygılı Reklam Ve Promosyon Gıda Ambalaj San.Tic Ltd,,,,,,Günaşli,7550272886
MN001576,Flıckerlıne,,,,,,,
MN001577,Hacı İbrahim Gerçek,,,,,,,
MN001578,Gemici Reklam,,,,,,,
MN001579,Damon İthalat İhracat Ve Genel Ticaret Limited Şirketi,,,,,,,
MN001580,Duysak,,,,,,,
MN001581,Wınkel Endüstri Ürünleri San. Ve Tic. A.Ş,,0507 191 88 77,,,,,
MN001582,5 Dk Moonlife Gıda Endüstriyel Amb. İml. İth. İth.San. Ve Tic. Tic.Ltd. Şti,,0532 285 00 89,,,,,
MN001583,T Port Dıs Tıcaret Ltd.Stı,02164450001,05076061233,aaydin@asichaiart.com,"İçerenköy Mahallesi Güneş Sokak No: 6/A
Ataşehir - Istanbul ",Ataşehir,Kozyatağı ,8150941758
MN001584,Ceekfood,,,,,,,
MN001585,Cantin,,,,,,,
MN001586,Ilona Patarova,,,,,,,
MN001587,Raghaeb Company,00966 55 583 5518,00966 12 6590298,,"Sari Street, po box 44144 - 21581 Jeddah / Saudi Arabia",,,
MN001588,Dend Group Genel Müdürlük,,0532 417 80 97,,,,,
MN001589,Sırça Sepeti,,0 5070953837, info@sircasepeti.com.tr,"370 Sok. No:37/2, Bahçelievler, Karabağlar",,,
MN001590,Ofek Lavan Havilot Shay Ltd.,009720507943213,009720507943213,,"Meshek 46 , Ta'oz , Jerusalem",,,
MN001591,Anadolu Kuruyemiş,05076382877,,muammeryyildirim@gmail.com,Gimat Toptancılar Sitesi 6. Blok No.184,Yeni Mahalle,,
MN001592,Icon Dış Ticaret,,,,,,,
MN001593,Topkapı Paper Ambalaj San. Ve Tic. Ltd. Şti.,0090 552 808 40 00,,info@topkapipaper.com,,,,
MN001594,Ucuzcular Gıda Mad. San. Ve Tic. A.Ş,,0532 335 46 45,,,,,
MN001595,Nano Yasam Nano Bıyo Teknolojı Arge San.Tic.Ltd.Stı,0212 661 6069,,hazal.tatli@sankara.com.tr,"Üniversite Mahallesi Sarıgül Sokak No:37/1 
Avcılar - Istanbul",Avcılar,Avcılar ,6290478728
MN001596,Özdilek Holding,,,,,,,
MN001597,Sultan Group Kargo Ith.Ihr.San Ve Ltd. Ştı,0090 535 398 0028,0090 535 398 0028,alghouri4@gmail.com,Akşemsettin mah. Zülali Çeşmesi - Apt no: 11 A Fatih/ist,,,
MN001598,Boyacı Kozmetik,,,,,,,
MN001599,Mumay,,,,,,,
MN001600,Azim Kutu,,,,,,,
MN001601,Promar Textıles,,,,,,,
MN001602,İz Reklam,,,,,,,
MN001603,Dq World Dış Tic.Ltd.Şti,,,,"Hamidiye Mah. Hamidiye Cad. No.15 D.10 
Çekmeköy",,Sarıgazi,3021055712
MN001604,İhh İnsani Yardım Vakfı Genel Merkezi,,0537 961 41 66,,,,,
MN001605,Ala Safranbolu Lokumcusu,,,,,,,
MN001606,Vedat Tezcan,,,,,,,
MN001607,Egk Gıda Ithalat Ihracat Sanayı Tıcaret Lımıted Sırketı,,05334318250,eraykurt@forevachocolate.com,"SENLIKKÖY MAH. FLORYA CAD. KIZILTOPRAK AP NO: 39 IÇ
KAPI NO: 5 BAKIRKÖY/ ISTANBUL",BAKIRKOY ,Küçükçekmece,3250946881
MN001608,Evra Ambalaj,,,,,,,
MN001609,Ottoman Galata,,,,,,,
MN001610,Viendi Promosyon,,,,,,,
MN001611,Serdar Plastik San. Ve Tic. Aş.,,,,,,,
MN001612,Al Zaıtouna Albaıda,00218 926 419 670,00218 926 419 670,,Zawit El dahmany Street Tripoli Libya commercial Record 67953,,,
MN001613,Nocturne,,,,,,,
MN001614,Wibra Supermarket Bv,+31578676333,,inkoop@wibre.nl,"Hammerstraat 7  
8161 PH Epe 
Netherland",,,
MN001615,Bilge İlaç,,,,,,,
MN001616,Linkpro Organizasyon Pazarlama Ltd. Şti.,,,,,,,
MN001617,Hürriyet Sağlık Sen.,,,,,,,
MN001618,Cosmed,,,,,,,
MN001619,Time For Food,,,,,,,
MN001620,Amasra Lokumcusu Gıda Ve Pazarlama Lımıted Sırketı,05466216204,05466216204,,BALAT MAH. VODINA CAD. NO: 106 A FATIH/ ISTANBUL,,,
MN001621,Ndt Gıda,,,,,,,
MN001622,Ds Traiding And Négoce,00216 20 324 557,00216 20 324 557,snoussidorra@yahoo.fr,,,,
MN001623,Gandour Company,0096 154 335 00,0096 154 335 00,mghader@gandour.com,,,,
MN001624,Saitbey Çorapları,,0535 585 95 95,,,,,
MN001625,Merhaba Gıda Sanayı Ve Tıcaret Ltd Stı,02126439887,,merhaba@merhaba.com.tr,"HALKALI MERKEZ MAHALLESI BASIN EXPRESS YOLU NO 9/1 
KUCUKCEKMECE - ISTANBUL ",KÜÇÜKÇEKMECE,,
MN001626,Good Baklava,,00905057710616,Roy@goodbaklava.net,,,,
MN001627,Company Jozef For Trading And Contracting,,00966 50 428 0366,a_rashed@jazaf.com,,,,
MN001628,Öğüt Organik Tarım Ürünleri San. Ve Tic. Ltd. Şti.,,,,Sanayi Mah. 60090 Nolu Cad. Gatem Örnek Fıstıkçılar Sitesi No. 51/17,Şehitkamil,,
MN001629,Liva Organizasyon Gıda Makina İnş. Tur. İth. İhr. Ve Tic. Ltd. Şti.,,,,Ümit Mah. 2432 Cad. 2494/3 Sok. No.11,Çankaya,,
MN001630,Lamiraj Ambalaj / Hamit Hasan,,,,AYDINBABA MAH. MEHMET TEVFİK UYGURLAR SOK. NO.5 B,ŞAHİNBEY,SUBURCU,37870373514
MN001631,Dora Kozmetik,,,,"İkitelli OSB, Mutfakçılar Sanayi Sitesi, 4. Blok No:4, 34306 ",Başakşehir,,
MN001632,Alnajjar Group Matbaacılık Ve Dış Lit. Şit,,0534 870 23 94,,,,,
MN001633,Mucit Beyinler Elektronik Hizmetleri Ticaret A.Ş.,,,,"Depo Adresi:  Şerifali Mh. Beyit Sokak No:27
",ümraniye,,
MN001634,Dizaynes Sanat Tasarım Bilişim San. Ve Tic. Ltd.Şti.,,,,"23 Nisan Mah. Köroğlu Cad. No:28/A  
",Nilüfer,,
MN001635,Alraslan Commercıal Roasters,00974 66 496 568,,alraslanroastery@gmail.com,,doha,,
